Current,Voltage
60,267
484,344
503,455
524,577
546,687
564,764
575,804
57453,238
469,299
496,399
519,523
535,642
526,591
550,699
565,770
577,806
574,784
555,725
537,630
514,509
487,387
470,291
447,229
453,227
462,261
484,343
507,449
518,569
544,684
563,760
575,804
576,791
558,737
537,647
517,527
504,403
473,308
452,237
452,224
464,255
478,327
503,433
519,548
542,664
563,752
577,804
576,798
562,747
537,663
520,548
497,424
474,321
461,249
448,221
461,247
475,309
496,410
516,524
533,646
559,741
577,799
574,799
566,757
541,676
518,567
503,446
479,334
462,261
450,220
453,239
471,297
488,391
511,508
533,633
553,727
577,797
575,801
565,767
546,690
521,586
509,468
484,350
463,272
453,222
451,232
467,285
487,373
506,489
532,614
554,714
572,785
576,802
565,777
548,707
526,604
510,487
492,369
465,280
451,224
453,229
461,273
485,356
505,468
528,592
552,699
567,773
578,807
570,782
549,723
532,624
512,507
493,386
472,291
449,230
450,226
459,263
480,342
504,448
519,571
550,686
565,762
575,805
573,789
552,733
536,643
516,525
496,404
476,308
451,236
448,222
458,251
476,325
503,430
523,549
542,670
566,751
574,803
572,792
559,743
540,661
522,548
499,429
477,322
457,251
445,219
455,249
474,308
497,412
517,528
535,651
560,741
574,798
571,797
565,756
540,675
523,566
506,448
478,335
457,258
446,218
452,239
470,296
491,392
515,510
533,633
552,727
571,788
573,800
566,767
547,691
523,588
503,465
480,349
461,268
447,218
450,231
470,287
489,374
508,491
532,611
549,713
569,781
575,803
566,777
552,708
525,604
509,486
487,366
462,280
451,223
452,230
463,275
487,356
503,469
525,591
549,696
564,770
582,807
570,784
554,722
531,625
508,510
492,383
470,289
450,231
455,226
460,264
483,346
502,448
515,568
545,682
564,761
577,806
575,790
555,735
535,644
513,524
492,401
475,305
451,239
455,228
460,254
475,326
500,428
513,548
540,668
563,750
573,806
576,796
558,744
535,660
518,544
494,422
479,321
461,249
450,219
457,246
471,309
495,409
517,531
535,649
557,745
576,801
572,805
565,756
540,678
520,565
504,446
481,337
462,261
449,219
450,237
473,298
492,392
514,512
536,633
553,727
573,790
573,799
563,766
547,690
524,584
510,470
483,349
460,269
452,221
448,231
466,286
494,374
507,492
530,614
553,712
568,782
575,802
566,773
550,710
530,604
508,486
490,367
463,277
445,221
452,227
466,275
491,361
504,470
524,592
548,697
563,769
577,804
571,782
551,723
540,631
512,508
489,383
466,290
455,227
453,227
461,264
484,347
500,448
517,569
543,685
562,759
575,805
575,789
556,736
536,646
515,526
490,400
470,305
453,235
450,225
464,255
478,327
503,433
516,549
537,664
562,749
574,803
577,796
560,746
537,661
518,546
494,422
474,318
457,247
448,223
457,247
475,311
494,411
514,526
530,647
559,739
576,800
575,799
567,758
540,676
522,564
500,443
475,332
460,259
450,219
458,242
473,298
491,392
510,510
533,631
552,727
577,793
576,801
568,769
545,688
520,584
505,463
479,349
463,269
452,221
454,235
471,285
489,373
506,491
531,612
549,714
570,782
577,802
569,778
550,707
523,601
506,483
487,364
464,279
452,223
453,228
465,276
485,357
503,470
526,590
547,699
569,775
581,804
569,784
552,721
531,623
509,506
493,385
468,291
452,229
452,226
459,263
483,342
505,449
519,571
547,684
565,760
577,805
577,787
553,733
535,643
513,525
501,402
475,305
457,240
451,223
459,252
476,326
501,430
517,552
542,670
562,751
574,803
574,794
557,743
537,660
520,546
499,425
477,319
456,246
448,222
457,245
470,310
500,416
516,534
536,651
560,746
574,799
574,798
564,754
546,678
525,568
503,444
478,335
459,258
445,220
454,238
471,296
493,392
516,513
535,633
555,729
573,790
571,799
568,766
548,688
526,588
511,465
480,348
467,267
448,218
455,235
469,284
490,378
510,494
529,613
550,713
571,782
573,801
567,776
552,706
527,605
514,486
485,365
464,278
449,220
449,226
467,277
488,359
510,473
527,594
546,699
567,774
578,803
570,786
557,722
533,623
513,509
489,381
464,288
450,228
451,226
462,267
489,347
503,452
520,576
544,685
561,761
576,805
572,789
560,735
537,642
515,522
493,400
473,304
450,236
454,225
460,256
483,334
503,432
515,555
543,670
567,751
