Current,Voltage,
0,247,
510,205,
511,228,
512,291,
511,392,
515,514,737
513,636,
514,508,
513,385,
512,286,
517,557,
515,432,
516,322,
514,241,
511,210,
513,232,
512,295,
515,401,
515,524,
511,649,
517,745,
514,809,
515,815,
513,772,
514,690,
515,574,
512,453,
517,335,
512,253,
515,209,
515,226,
515,285,
515,382,
509,502,
513,630,
511,733,
513,801,
515,816,
511,783,
516,707,
511,592,
512,470,
513,350,
510,263,
512,207,
510,218,
515,273,
513,361,
515,484,
517,609,
510,718,
513,789,
511,816,
512,790,
514,722,
514,617,
515,497,
513,369,
515,282,
513,212,
513,218,
517,263,
508,344,
513,463,
512,584,
514,702,
517,780,
514,821,
516,800,
511,734,
511,635,
513,514,
508,384,
516,288,
513,221,
515,214,
514,249,
514,333,
515,442,
509,564,
514,685,
511,768,
512,819,
516,804,
514,754,
519,657,
513,534,
515,408,
513,301,
512,232,
513,208,
510,238,
515,316,
513,420,
512,545,
517,667,
512,758,
513,816,
509,807,
511,759,
512,671,
512,551,
515,429,
512,319,
516,245,
515,208,
513,233,
514,297,
512,402,
512,525,
510,647,
521,747,
514,811,
514,813,
519,771,
512,687,
515,576,
511,449,
510,330,
512,250,
511,206,
516,225,
512,282,
515,385,
515,504,
512,634,
514,732,
514,798,
511,814,
511,778,
513,704,
518,593,
514,471,
519,353,
513,263,
513,210,
514,219,
510,270,
512,364,
508,481,
514,610,
514,717,
516,794,
517,817,
514,790,
516,720,
510,613,
511,490,
513,366,
510,275,
514,212,
513,215,
513,265,
512,347,
514,465,
514,587,
509,701,
513,780,
511,815,
514,797,
516,732,
511,635,
517,517,
510,383,
514,289,
512,220,
510,213,
514,253,
510,334,
514,447,
513,567,
517,694,
514,770,
512,820,
514,803,
508,744,
511,650,
511,527,
513,404,
516,299,
511,232,
517,212,
512,240,
513,319,
513,427,
515,550,
517,670,
511,760,
515,818,
515,805,
515,758,
516,667,
513,548,
514,423,
510,312,
511,238,
513,207,
512,233,
517,304,
512,408,
513,528,
513,654,
512,749,
514,812,
510,809,
511,765,
518,681,
516,568,
519,442,
513,328,
515,250,
511,207,
513,228,
512,287,
512,389,
509,509,
510,645,
515,738,
514,804,
519,816,
515,777,
512,699,
514,586,
512,460,
513,343,
513,256,
514,209,
516,222,
512,276,
516,372,
512,493,
513,619,
512,725,
512,793,
512,816,
511,784,
516,715,
513,605,
514,483,
516,360,
514,266,
513,210,
513,218,
511,267,
513,355,
511,477,
514,601,
512,709,
518,790,
514,817,
511,794,
515,727,
511,622,
513,499,
512,373,
516,282,
515,214,
512,216,
515,258,
511,338,
513,456,
512,577,
510,693,
514,776,
511,817,
514,801,
513,738,
516,646,
512,517,
510,391,
511,291,
511,221,
517,213,
514,247,
512,329,
516,439,
512,560,
517,681,
512,766,
512,820,
514,803,
511,750,
515,658,
514,535,
516,414,
518,307,
513,234,
514,209,
510,236,
513,312,
510,416,
511,537,
514,664,
512,757,
515,816,
513,809,
515,763,
511,675,
510,555,
512,432,
511,317,
514,244,
513,209,
513,233,
517,296,
512,401,
513,524,
510,652,
513,748,
512,807,
511,813,
515,771,
512,688,
517,576,
517,456,
514,335,
514,252,
511,205,
511,224,
511,283,
513,382,
515,504,
513,632,
517,735,
512,799,
514,816,
514,781,
511,705,
513,594,
511,469,
517,354,
514,262,
519,211,
517,221,
511,271,
514,366,
511,483,
512,610,
513,714,
512,791,
515,818,
514,789,
515,721,
513,613,
512,491,
518,366,
508,272,
513,211,
512,214,
513,264,
514,347,
513,469,
517,588,
510,702,
514,782,
512,818,
511,798,
516,738,
515,632,
512,511,
517,384,
517,284,
516,219,
511,212,
513,253,
509,332,
512,445,
513,572,
515,689,
517,772,
513,818,
514,803,
513,745,
512,651,
513,527,
511,401,
514,299,
513,230,
516,212,
516,241,
515,322,
515,427,
511,549,
512,672,
511,760,
512,818,
513,806,
511,760,
516,669,
513,547,
516,427,
514,316,
514,240,
513,210,
509,233,
513,303,
514,405,
515,528,
517,654,
513,750,
514,813,
512,810,
513,767,
513,681,
511,565,
515,443,
511,327,
517,250,
515,208,
515,230,
515,290,
511,389,
513,511,
510,638,
513,738,
512,804,
512,815,
515,779,
512,697,
515,588,
515,461,
511,341,
513,256,
510,206,
514,222,
514,278,
517,373,
514,494,
518,620,
515,724,
516,793,
512,815,
517,784,
511,713,
515,604,
513,481,
516,361,
513,267,
515,211,
513,218,
510,268,
511,356,
511,475,
513,598,
515,707,
514,789,
517,818,
511,794,
514,727,
511,621,
510,498,
514,374,
510,279,
514,214,
512,213,
515,259,
514,340,
513,457,
510,579,
510,693,
510,776,
512,816,
511,800,
517,741,
514,642,
514,518,
512,392,
513,291,
512,225,
510,211,
515,252,
513,326,
514,441,
515,561,
515,682,
515,767,
511,816,
512,805,
510,748,
511,657,
515,535,
512,412,
518,307,
513,234,
512,210,
513,238,
510,312,
512,418,
510,537,
511,663,
513,756,
513,817,
516,810,
512,760,
514,673,
512,553,
510,430,
514,318,
512,240,
518,211,
